name,url,search_query,manual_status
Mama Loca Vijay Nagar,https://www.google.com/maps/search/Mama+Loca+Vijay+Nagar+Indore,manual_premium,active
Mama Loca New Palasia,https://www.google.com/maps/search/Mama+Loca+New+Palasia+Indore,manual_premium,active
Coco Loco Kitchen Bar Indore,https://www.google.com/maps/search/Coco+Loco+Kitchen+Bar+Indore,manual_premium,needs_recheck
One8 Commune Indore,https://www.google.com/maps/search/One8+Commune+Indore,manual_premium,active
Pincode by Kunal Kapur Indore,https://www.google.com/maps/search/Pincode+by+Kunal+Kapur+Indore,manual_premium,active
Romeo Lane Indore,https://www.google.com/maps/search/Romeo+Lane+Indore,manual_premium,active
Studio XO Indore,https://www.google.com/maps/search/Studio+XO+Indore,manual_premium,active
Qavalli Indore,https://www.google.com/maps/search/Qavalli+Indore,manual_premium,active
Mitti Cafe Indore,https://www.google.com/maps/search/Mitti+Cafe+Indore,manual_premium,active
UBUD Indore,https://www.google.com/maps/search/UBUD+Indore,manual_premium,active
Eurasia Indore,https://www.google.com/maps/search/Eurasia+Indore,manual_premium,active
Deuce Cafe Indore,https://www.google.com/maps/search/Deuce+Cafe+Indore,manual_premium,active
Kebabsville Sayaji Indore,https://www.google.com/maps/search/Kebabsville+Sayaji+Indore,manual_premium,active
Sanchi Sayaji Indore,https://www.google.com/maps/search/Sanchi+Sayaji+Indore,manual_premium,active
Fairfield by Marriott Indore,https://www.google.com/maps/search/Fairfield+by+Marriott+Indore,manual_premium,active
Indore Marriott Hotel,https://www.google.com/maps/search/Indore+Marriott+Hotel,manual_premium,active
Constellation WOW Crest Indore,https://www.google.com/maps/search/Constellation+WOW+Crest+Indore,manual_premium,active
Dhuaan WOW Crest Indore,https://www.google.com/maps/search/Dhuaan+WOW+Crest+Indore,manual_premium,active
Twilight WOW Crest Indore,https://www.google.com/maps/search/Twilight+WOW+Crest+Indore,manual_premium,active
Ni Hao Radisson Indore,https://www.google.com/maps/search/Ni+Hao+Radisson+Indore,manual_premium,active
Indiya Oye Radisson Indore,https://www.google.com/maps/search/Indiya+Oye+Radisson+Indore,manual_premium,active
Cakewalk Radisson Indore,https://www.google.com/maps/search/Cakewalk+Radisson+Indore,manual_premium,active
Ethyl Bar Radisson Indore,https://www.google.com/maps/search/Ethyl+Bar+Radisson+Indore,manual_premium,active
The Creative Kitchen Radisson Indore,https://www.google.com/maps/search/The+Creative+Kitchen+Radisson+Indore,manual_premium,active
Ohlio Gourmet Cafe Bar Indore,https://www.google.com/maps/search/Ohlio+Gourmet+Cafe+Bar+Indore,manual_premium,active
Zonatello Pizzeria Scheme 140 Vijay Nagar Indore,https://www.google.com/maps/search/Zonatello+Pizzeria+Scheme+140+Vijay+Nagar+Indore,manual_premium,active
Pizza Don Indore,https://www.google.com/maps/search/Pizza+Don+Indore,manual_premium,active
Just Paratha Indore,https://www.google.com/maps/search/Just+Paratha+Indore,manual_premium,active
